Sentiment,
positive, The need of the hour is to oust this Modi-led BJP govt on the basis of a policy alternative.
positive, Still some section of political leaders are against modi because they're not comfortable with his actions but major
positive,Bjp winning for sure
positive,The need of the hour is to oust this Modi-led BJP govt on the basis of a policy alternative.
positive,God bless you bjp
negative,"Bhakts and their assumption is at its best.. I'm a hindu, My common sense tell me.. few BJP bhakts fl $NUMBER$D"
positive, if doesn't suggest PC removal then we will assume that BJP is somewhat hand in gloves with t
positive,Congress +122 /-
positive,BJP +80/-
positive,Congratulations to and all the congres
positive,Why doesnt he dare to quit bjp?
positive,What about your father shri balatkari narender modi sell red fort? What about Your Uncle
positive,Forwarding Social Media Posts Equal To Endorsing It Madras HC Denies Anticipatory Bail To BJP Leader S Ve Shekher
positive,Guy basically BJP trying gain votes thru you Karnataka Electi u
positive,"Nirav Modis within the top JK BJP Leadership, Dy CM, Speaker"
positive,BJP leaders firm that bought Nagrota land owes Rs $NUMBER$
negative,"Moon in aries on the date of karnatak results, moon in pisces ob the date of poll indicate good luck for Shri Modi."
negative,And we say BJP doesnt indulge in Appeasement politics....
positive,BJP's Nationalism at its low.
negative, Cancelled Ola Cab booking today because driver's surname was Modi aur woh bhut der se cab bas gol gol ghuma rha tha.
positive,Criticise Modi for promoting hatred by following vicious trolls on Twitter
positive, Yes he has raised very relevant points. Vikash is incumbent to all democratically elected govts be it Cong o
negative, because they dont want BJP anymore $NUMBER$
positive,BJP is Congress with a tint of orange colour - Shri Govindacharya ji
positive,Country not safe in BJP's hands like Sunanda was safe in your hands. Any idea whether it d
positive," AAPtards are openly supporting Congress now. Just like how they used to say, Modi is afraid of Kejriwal, now they are s"
positive, Congis are eerts in worsening the enemity between two persons/community/nations.Cong was silent knowing Pak's dirt
positive, This is one thing on which I have lost hope from Modi. All crimes of past have been forgiven. Futi
negative, After years of congress rule if we still respect Subhash Chandra Bose Bhagat S
positive,Take action. Modi &amp; Co have been speaking &amp; only speaking. They are too useless &amp; incompetent
positive," For all you guys who are questioning Modi G about his London trip, he has brought back Kohinoor."
positive,Modi G ki jai!! https:
positive,All that's pending is for BJP Voters to wake up from bigotry trance &amp; fib smokescreens.
positive," Army objects to BJP Leader &amp; Ex DY CM Nirmal Singh's illegal Nagrota construction as security threat. Further, he bought"
negative,"Nobody raises anti national slogans, if anybody questions Bjp he will become anti national"
positive,BJP alone  CM Yeddyurappa
positive,BJP-JDS.  CM Kumara Swamy
positive,Cong-JD
negative,Under the BJP rule there has not been any scam... So please don't go on repeating this cra
positive,"The deal is already stuck , if its + BJP it will have its CM, BSY will be sent t"
positive,"Karnataka exit poll results Times Now-Chanakya predicts seats for BJP, seats for Cong via"
positive,Congress -
negative,No hes not losing . But hes ready to stop BJP from forming the govt and r
positive," After protests over citizenship bill, Assam BJP says will wait for final list"
positive,Prime Minister Modi enforce your laws! Stop the barbaric torture of temple elephants in Kerala. Chains
positive,"Crackdown on shell companies Narendra Modi government, regulators now plan this"
positive,"West Bengal Panchayat Election LIVE CPM Worker, Wife Killed After Set on Fire; BJP Candidates Beaten Up U"
negative,Bjp rule in India like boss before years Every Indian see bjp development
negative,| Bulk of Exit Polls show tilt toward BJP as single largest party and market may not be su
positive,BJP WILL GET to
positive," She knows very well that in BJP will not come in power, probably she is asking from future PM."
positive,"Yes shamelessly appointed an ex congi as well as ex BJP too. Remember he resigned a week prior to be made orez, wha d"
negative," This is unacceptable, Modi govt must have colluded with the weather gods to interrupt the his holiness muflarlalls such auspi"
positive,Bjp made dalit d president of India...
positive,Vote BJP
positive,Karnataka elections saw Modi take political discourse to a new low via
positive,Why not safe ? Coz ab Congress se scam nahi hote ??? Say Congress Not safe under BJP
positive, Nirav Modis US firms got Rs cr PNB remittances via
positive,Doesn't the Congress have MPs in Parliament? Doesn't BJP have the largest mandate in recent times? Who is in pow
positive, India will remain steadfast partner of Nepal Narendra Modi
negative, Anniversary gift for Modi govt % people in online survey satisfied with its performance
positive, India isn't safe in the hands of Congress. How many terror attacks happened since Modi came to power? Even the jihadis who pla
positive,BJP vocal on Cauvery after Karnataka polls
positive,Soon TMC supremo will preach from Delhi how democracy is in threat under Modi
positive, Can BJP ministers talk about the Modi government achievements rather than bashing opposition leaders?. No
negative,Anniversary gift for Modi govt % people in online survey satisfied with its performance
positive, Kashmir is about to be free Mr Modi. Run as far as you can d
positive,You have to ee mideeds of BJP sarkar. Public ko pata chalna chahiye.
positive,WB way of democracy by who used to give Gyan to PM and BJP on democracy and unity of
positive,What do you think.. Hearning that bjp is lagging?
negative, Why this BJP govt is such a threat to federal principles that the unity of India is based upon. It is a travesty to hav
positive,Karnataka assembly election exit poll per cent post-graduate voters pick BJP via
positive,BJP WILL GET TO
positive, Nawaz's remarks on Mumbai attacks back Modi's stance Sherry Rehman  points well raised by
positive,"There is tension between, US on the one hand and Iran, Afghanistan and Pakistan. What's Modi doing? Hobnobbing with China. Shame."
negative,BJP the worst party ever. Fooled people big time in . Aise hi richest party of India ni
negative, Modi govt providing energy justice to all Pradhan
positive,Modi became chaukidhar and borrowed broom from Kejriwal to mop our PSU and entire financial institutions
positive, AAP supporters are campaigning for Congress
positive,CPI/CPM supporters are campaigning for Congress
positive,Ambika BJP beautiful
negative,Why this BJP govt is such a threat to federal principles that the unity of India is based upon. It is a travesty to
positive," When NaMo stopped his Car, crowd started shouting ""Har Har Modi, Ghar Ghar Modi"""
positive, HONEST MOST BJP
positive,"TV CHANNEL SHOWING ASARAM with Modi, Advani, Bajpai,many other BJP leaders ONLY"
negative,Was cong in power at that time? What did RSS and Savarkar do to him released? And pls don't bring in
negative,They never used bjp name in Bengal and South India bucz good people kick on bjp leaders ass
positive," For us, the guiding Mantra is India First but for Congress it is Family First."
positive,Uncomfortable questions are always directed at BJP leaders. Congress and others are chided by a po
positive,PIDDI gang left only in one state and deaming of wining BJP strongholds.
negative,"If Congress gets even one less to simple majority, BJP will form the govt by all means."
negative, PM Shri will address SC/ST/OBC and Slum Morcha Karyakartas of through 'Narendra Modi App' at
positive,"Best solution for all ""modi-haters"""
negative, How Congress is ahead of BJP in Bengaluru? Listen to Political Commentator RK Upadhayay
positive," Modi, Shah in touch with me, per cent confident of victory, says Yeddyurappa via"
positive,"The saddest part is that he is still in BJP, the ppl India can't tolerate such traitor"
negative, What your IT &amp; ED is doing? You have been in power for yrs and why Rahul shd answer for this? First stop thi
positive,BJP WILL GET TO
positive, Soon TMC supremo will preach from Delhi how democracy is in threat under Modi
positive,give some advice to modi ji stop following
positive,Karnataka assembly election exit poll per cent post-graduate voters pick BJP via
positive,Winning doesn't define anything you rd grade idiot. Then never complain about Modi/BJP because they
positive, I canceled Ola cab because driver name was Modi ji
positive,I think he is modi
positive, Amount of money Bjp is spending on Modi's campaigns if they use this amount on Maharashtra's farmers.Theirs problems will
negative,Modi ji was given absolute majority at center. Yet important ministries are being neglected tha
positive,Sir ye news kya sach hai bjp ko village side me isse badnam Kia ja rha and all
positive,Bjp leaders promised to deport all foreigners from Assam within a week if BJP comes to pow
positive,"After jan , luck will forcefully support Shri Modi, and bit rough patch and resistances of will come an en"
positive,"West Bengal Panchayat Election LIVE CPM Worker, Wife Killed After Set on Fire; BJP Candidates BeatenUp d"
positive,"Modi ji, kursi choro, you and your sanghi friends are a rot festering in India!"
positive, Dhruv you are awsome..u successfully ee corrupt bjp leaders..but for ur information many leaders of
positive,"Isn't dis our responsibility to take dis to d masses..or will we wait for modi to do dis for us..?? Middle East, Af"
positive, Karnataka assembly election exit poll per cent post-graduate voters pick BJP via
negative,good move from BJP by removing the most dangerous community in the world from key roles in BJP. God bless
positive,"From that article ""UNEDUCATED BACK CONGRESS, EDUCATED BACK BJP"""
positive,Lanka Dinakar Sensational Comments On BJP Party | Vamsi's Sunrise Show via
negative,BJP will win around $NUMBER$ seats in Karnataka election and Congress will win around seats and others $NUMBER$s
positive,Needs united opposition. Also the fact that most opposition parties except Congress and Lefts have partnered with B u
positive,"Ram, not nice . I am a Modi hater too but this Tweet is very bad . Hope you delete it man."
positive,I dont think BJP has that sort of illusion ......otherwusecwhy PM would focus on pro
positive,"We are winning, wait till Tuesday, says BJP's Narendra Taneja via"
negative,But I thank Sonia Gandhi on mother's day for gifting us a national jester and a star campaigner for BJP
positive,Nepal Cancer Hospital Thanks PM Modi for Gifting Teletherapy Machine $NUMBER$
positive, . lodges a complaint under section with Bhopal Police cyber cell against BJP spokesperson
positive, Karnataka assembly election exit poll per cent post-graduate voters pick BJP via
positive, This Modi bhakt BJPian is Mocking all those South Indian and Gujaratis and East Indian who r unable to speak Hindi de
positive," By the way why are still in BJP why not join congress, I am sure you are more happy"
positive,Chor congress now have nothing to say much. All these fake losses can count. Why not go to court as bjp h
positive,Good morning mrs gandhi.. grt u woke up finally !! Where were all BJP brigade when this stoog
negative,"First asked to vote against BJP,"
negative,Dirty people dirty mind It is new Dirty BJP
negative," Within the four years of Modis Government, situation has worsen so much that Media houses are directly controlled by PM"
positive,"Voting in rural areas was to the extent of %, means BJP is back with comfortable majority as all Govt"
positive,Keep Calm And Trust Modi
negative, BJP as a political party is making all religions equal they have not done anything to appease Muslims for vote ba
positive,Modi and Amit Shah watching karnataka results.
positive, should check with Modi first whether Mukesh Ambani has permitted them only to ba
negative," if that wud hv been in govt u wud hv tagged Modi,why don't u hv guts to tag"
positive,Axis seems to have missed out the Reddy brothers impact there. BJP will do better than Cong in Raichur and Koppal
positive," Isn't dis our responsibility to take dis to d masses..or will we wait for modi to do dis for us..?? Middle East, Africa see"
positive,Modi is a plain simple idiot. By law he should be allowed to countries that are of zero strategic importance. He ca $NUMBER$
positive,"As per axis , INC BJP jd-s seats are sacrosanct....36 seats have battle btw % margin ( mostly INC versus"
positive,Andha Bhakthas of BJP. RSS are not even aware of
positive,"A corrupt, Murderous dynastic country within India is definitely not feeling safe in hands of Modi"
negative,Was cong in power at that time? What did RSS and Savarkar do to get him released? And pls don't brin
positive,"Respected Shri Narendra Modi ji, CM Yogi ji &amp; Deepak Misra ji, you are the last hope f"
positive,"Here is Prestitutes led by poorie trying to do damage control.... they know BJP is winning... but, they have shown"
negative, Wait and watch how low BJP will go in Elections. People are really so ignorant that they vo
positive,"Absolutely, and this was the jumla-baazi of Modi-Shah that you and me couldn't see through in . BJPs fight on c"
negative,"Whatever he called last, now after MODI as PM &amp; BJP as party only the media is discussing BHAGATH"
negative,These people definitely don't feel safe under Modi as things are tightening up against corruption.
positive," ,Updated list. tagged below are seriously dangerous to the future of our state. Slaves of Modi a"
negative, Muslims never forget babri mosque demolition or Gujarat riots.they blame bjp for it and never vote for bjp.
positive, Ha ha ha Modi never sold tea became PM
positive, LIVE  Statement by PM Modi at joint Press Meet with PM Oli of Nepal
positive,"Exactly, it was spring of lies &amp; horse trading that made bjp to manage gov i"
positive,happy mother's day modi ji
positive,Now In just few Hour The BJP's IT Cell is Going to
positive,"When Modi Sir is the best option according to the majority of the Indians, who the hell is interested in your opinion?"
positive, Pregnant Kin of BJP Candidate is By TMC Goons in .
positive,main stream journalist are against to bjp and their voice is reaching far so everyone st
positive, Uncomfortable questions are always directed at BJP leaders. Congress and others are chided by a polite
positive,"After repeated goof-ups by Kerala BJP leaders, state party chief Kummanam says he will take action against leaders $NUMBER$"
positive,What's Happening BJP in KARNATKA- +
positive," When we abuse Muslims, we put muslims in BJP like in tight spot. Nope. No blind hatred. We are defending our reli"
positive,happy mother's day modi ji
negative,"Request the people of to utilize the to defeat the arrogant BJP goons,who r scaring"
positive,Nalayak Suvarke ahulad anti Modi
positive,"narendramodi ""Sharing an animated video that will teach you the ropes of Shalabhasana. """
negative,"Oh please, stop pretending that you care, you look the other way when they kill BJP workers, one media can burnt an"
positive,"You hate Modi that's OK, but how can you descend so low as to use this kind of language against his mother? No sense"
positive,Sharing an animated video that will teach you the ropes of Shalabhasana. $NUMBER$U narendramodi
negative,TDP praying for BJPs loss in Kar. A good sign that South is done with BJP.
negative,vote for Bjp
positive, Retweeted Narendra Modi ():
positive,Ache din ache banne se ayeinge BJP ya Congress k U
positive,"against modi, they never accepted modi as a mass leader !!"
positive,Modi is using Nehru's words and ideas by twisting it to serve his political image...
negative,Mr Bsy Bjp wins seats
positive,Are he is not voting. He is telling you from data. And jeet rahe hai na. BJP
positive,You mean indirectly siding with the RSS and BJP.
negative,Good-luck Kanna. His elevation proved BJP is a party with NO difference.
positive,I'll vote for bjp I'm safe
positive,Why do you BJP guys whine some much when you are in power ?? Why cant you get your Vikas Purush PM act on these incidents ?
positive,No he is a slave of BJP
negative,There is Another Channel who too did two Polls. ND showed in both polls BJP is ahead
negative,"This is how muslims, anti-Hindus, Congress, liberals defame RSS....This is the reason why Hindus are"
positive,Entire BJPee camps in havoc
positive,Is ANI lying here??? Are they bjp/cong/left cadres
negative,Bjp doing great job?
positive,What a consistent mouth shitter LMAO! Thanks for existing.. It's helping BJP..
negative," This is how muslims, anti-Hindus, Congress, liberals defame RSS....This is the reason why Hindus are co"
positive,High voter turnout means high anti-incumbency... Gut says BJP is gonna win big- like +
positive," Modi's mother deserves MORE RESPECT....... Since she doesn't get ANY FROM HIM, except when used as a prop."
positive,This means all those followed by bjp leaders are members of IT cell team
positive," We are winning, wait till Tuesday, says BJP's Narendra Taneja via"
positive,"Congress &amp; Darbaris can openly abuse Islamist/Danish Ali JDS, still they will go to crawling to queen &amp; pappu to de"
negative,He was consistent on issues that are important for AP and he questioned BJP when TDP and Y
positive, bjp hatavoo.. Engnerng relatd jobs bachavoo.
positive," Karnataka polls Will give in writing that BJP will win, says Yeddyurappa"
positive, Youngest fan of modiji..
positive,"Boss, Narendra Modi has done greater service to humanity than Jesus Christ. Don't insult c"
positive, High voter turnout means high anti-incumbency... Gut says BJP is gonna win big- like +
positive,Nepal Cancer Hospital Thanks PM Modi for Gifting Teletherapy Machine
positive, bjp hatavoo. Engnerng relatd jobs bachavoo.
negative,Critice say Modi isn't a GOOD Politician.
negative,Public say Rahul don't even appeared to be a Politician.
positive,Common man's terrible eeriences under BJP rule do
positive,I think BJP will form Govt in Karnataka.
positive,what's most important is the number of Rajya Sabha seats Karnataka BJP will contribute going forward ..
positive, Awaiting a massive crackdown on fraudsters nd corrupts in coming weeks..d noise against modi is gonna get louder..nd d lang
positive,"KP Sharma Oli thanks Narendra Modi for visit, says it will further strengthen Nepal-India relations $NUMBER$"
positive,All the crore workers of BJP are ready for the elections and we are assured of our victory :
negative,"No Sir, BJP is winning hands down. Let's wait and watch on May ."
positive,"In PM Modi's visit, India gears up to counter China's growing presence in Nepal via"
positive,"When he learned about Modi's state reception in Kathmandu, Bishodip Lamichhane, a graphic designer, launched hashta"
positive," KP Sharma Oli thanks Narendra Modi for visit, says it will further strengthen Nepal-India relations"
negative, Asia a promising region for media business PM Narendra Modi
positive,That why Rahulji call BJP cheated the people.
positive, BJP wallahs call political opponents all sorts of names...political discourse in gutter level...a bjp neta who called mayawa
positive,"True, only Modi is future of india..."
positive,Very serious and utter failure of kerala BJP leaders. Something has be dine urgentl $NUMBER$
negative,BJP with jds will not happen..it would be. Congress with jds minus siddu
positive,Shatrughan Ji you are part of the family now. Please have self respect to leave the BJP.
positive,Namaste DEAR HONORABLE PM MODI JI PLEASE CONCERN SPECIAL STATUS FOR SELFISHLY BYFERGATED AP
positive," There is tension between, US on the one hand and Iran, Afghanistan and Pakistan. What's Modi doing? Hobnobbing with China."
positive,Siddaramiah has already cracked this BJP was caught napping when he
positive," So much for a self proclaiming ""nationalist"" BJP government."
positive,"Hon'ble PM- I am confident that BJP will be at the Centre for the next years.Prepare to deal with Bengal, nd Kashm"
positive,Jay ho pm modi
positive,Sorry madam it is not wish that bjp should win why didn't bjp field a tamilian to cont
positive," Since Narendra Modi came to power, licenses of ,000 NGOs have been canceled because of violation in foreign funding no"
negative,the nation wants replies.... modi ji n the bjp party should answer the people of this country
positive,It means the congressi are easily purchasable?
positive,If u think bjp is getting benef
positive,And India's pellet guns straight in eyes of young children/women? black cheque to RSS/Shiv Sena/BJP vigilantes to
positive, We have sacrificed Thousand people in Pakistan due to people like Modi and Nawaz Sharif said we are responsible for Mumbai
positive,Is there any specialist in world who can open mind eyes of Indians those could not see patriot in Modi and traitors
negative," And, despite being a billionaire is yet to pay the fine. Brazen defiance of NGT enabled by his crony Modi govt"
negative,"Govt likely to privatise major airports. Modi government to mull complete privatisationof Guwahati, Chennai, Kol"
negative, years of Modi government Poll checks public mood - The Economic Times
positive,Congress +/-
positive,BJP +/-
positive,A party like BJP is dancing with Janardhan Reddy and Jagan Reddy .
positive, Only RSS Members Rise in BJP
positive,"Every Election is Fixed, but still the oposition dont protest against EVM, next Kolkatta BJP win"
positive, We were told 's campaign in Karnataka was divisive; poor was merely reacting. Fact Modi en
negative,"Modi government awards contract for ,86,138 bulletproof jackets. These jackets will protect soldiers from even"
positive," After BJP Papad,Pakoda &amp; Pan Rojgar; Now of employment:A teacher son Piyush Parekh[MA,B.Ed,PTC,ITI(M"
positive,kay self goal kar rehi ho...BJP It cell se comment banake phir uspe goal kar rehi ho
positive,Namaste DEAR HONORABLE PM MODI JI PLEASE CONCERN SPECIAL STATUS FOR SELFISHLY BYFERGATED AP
positive,Congress is just a doll and the threads are in the hands of so called communos
negative,"why you waiting, arrest this type of people who use bad words for our Hn PM Modi Ji."
positive,"When there ianNo Vikas..Than there would Ram, Laxman and Hanuman..To support BJP.. u"
positive, A detailed article on recent summit between President Xi &amp; PM Modi. Courtesy IMR.
negative,The entire country is looking at Karnataka and Prime Minister Modi is panicked. But We have a deep faith in Karnata
positive," Flipkart,the best Indian startup was gobbled up by the American giant Walmart and Modi was a mute spectator.He has all"
positive,BJP got even less. % . What about the rest?
positive,"Flipkart,the best Indian startup was gobbled up by the American giant Walmart and Modi was a mute spectator.He has"
positive,BJP vocal on Cauvery after Karnataka polls
positive,"narendramodi ""Sharing an animated video that will teach you the ropes of Shalabhasana. """
negative, Modi government will build new Advanced Landing Grounds (ALGs) along the border with China in Arunachal Pradesh. It is
positive,But in UP didn't he claim BJP sweep? Atleast I reme
negative, How is the BJP funded? How did its reserves skyrocket since ? Why does this lack of transparency not count as corru
positive,"Centre and the majority of states are ruled by BJP, still you guys can"
negative," Govt likely to privatise major airports. Modi government to mull complete privatisationof Guwahati, Chennai, Kolkata,"
positive,Income Tax lens on top buyers of Nirav Modi jewellery
positive,BJP's decision to oppose the other parties' call for a unilateral ceasefire suggests that the Centre won't let go o
negative," Sir what about your party's promises for unemployment, corruption and national security, BJP failed,"
negative, The Modi government has removed districts from the list of Naxalism-hit districts. The number of worst-affected distr
positive,This picture shows the relationship between mamata and modi
positive," Today a person asked me to elain BJP's Ideology, principal &amp; moto in words. I told him it's PROTECT, SERVE &amp; HELP (I"
positive, These r the fake citizens of India who dont have a simple responsibility of voting &amp; speaks against Modi &amp; want to save d
positive, Just imagine if BJP does this in BJP rules state. would go crazy. Par abhi Guptaji gayab hai.
positive, Nepal Cancer Hospital Thanks PM Modi for Gifting Teletherapy Machine
positive," Modi Ji giving ""gyan"" to BJP leaders and Bhakts to win election."
negative," PM Modi goes all out to win hearts, Nepal foreign minister says ties at new high"
positive,Congratulations Sandeep Modi. Soo Soo Happy
positive,If you have evidence why not put him behind bars? Does BJP keep forgetting tha
positive,Zeenews thanks for update. ITBP is elite force hope modi govt.must think bout pension and OROP for force personnel
positive, Madam is perennially ready to defend Modi and his friends and throw dirt at Congress leaders
negative,Why not a single muslim country is secular. modi go
positive," As per axis , INC BJP jd-s seats are sacrosanct....36 seats have battle btw % margin ( mostly INC versus BJP)"
positive, Modi when i see videos like these it gives me hell lot of hope and the patience t
positive," Congress Congress gave power to panchayats, BJP centralised it Sachin Pilot - The Economic Times"
positive, BJP's decision to oppose the other parties' call for a unilateral ceasefire suggests that the Centre won't let go of its ir
negative, Congratulations to you and people of Da
positive,Modi is elected pm .... u ambassador of hate modi brigade... r u believe in majority democratic gov'
positive,Special thanks from Modi to PMLN SMT for their round the clock support against ever since hand $NUMBER$
positive, Karnataka elections saw Modi take political discourse to a new low
negative,"By the time Modi reads ur suggested books,"
positive, Kerala BJP was circumspect about entering the State where RSS already had a formidable presence but Hindus were votin
positive,Hon'ble PM- I am confident that BJP will be at the Centre for the next atleast years.Prepare to deal with Benga C
positive,Long-Term Stagnation In Uttar Pradesh Is Modi's Biggest Challenge Ahead Of India's Elections U0
positive," Cong, BJP or hung in Karnataka is still debated. But all polls were unanimous on this"
positive,Why does Modis religious posturing sets your a** on fire so badly?
positive, Nitish Kumar Ji once famously said his deputy Sushil Modi suffers from a serious . He cant survive if he doe
positive,crore Scam by Modi Govt by not giving lacs to crore Indians.
negative," The entire country is looking at Karnataka and Prime Minister Modi is panicked. But We have a deep faith in Karnataka, i"
positive, And India's pellet guns straight in eyes of young children/women? black cheque to RSS/Shiv Sena/BJP vigilantes to molest no
positive,"Truth will get revealed if PM Modi gives an interview, so only written answers. No wonder why there is no press mee"
positive,Now a days we see in all the discussion Mr. PM is looking nervous. BJP. Has come in power by narrating lies and lie
positive,ofcourse BJP in around.
positive,remember one of ur employee posting abut modi and swine flu !!! dont remember any action by ur company ??? w
positive,Melting Point of King Maker JDS is (seats). If BJP or Congress reaches this point on its own or other combinati dU
positive,"so, as per shakha logic, if someone uses foul language against modi, he is a terrorist..kyun be ponga pandit?"
positive," If Tendulkar was playing cricket right now Modiji would come in every match where he's on , Take his bat to score that"
positive,Jihadis are roaming freely in Kashmir. FYI- Kashmir has Modi government. When would Hindus wake up? c8cu
positive,PM Modis meetings with several leaders of Nepal
positive,I think BJP should become leader for TN BJP. If not then should become TN l u
negative, BJP unable to find Rajasthan chief as no one wants to be a scapegoat Sachin Pilot u
positive,"KP Sharma Oli thanks Narendra Modi for visit, says it will further strengthen Nepal-India relations"
negative, Why did Times Now replace PM Modis photo with Amit Shah after BJP was shown at disadvantage in exit poll prediction?
positive," When he learned about Modi's state reception in Kathmandu, Bishodip Lamichhane, a graphic designer, launched hashtag"
positive,BJPs dishonest discourse on secularism can be gauged by the fact that until recently it claimed genuine secularis
positive,Modi was avatar of Lord Ram
positive,Congress was Kaikeyi wh
positive,Art of speaking lies..course by PM Modi..once u lie in sabha..communal message gone in public&amp;TV..along wth lie..Mo $NUMBER$
negative," Dear Mr. Modi, before making new promises to people, why don't you tell us what happened to your old ones?"
positive, Andhra Pradesh Few know BJP had a stronger cadre presence in AP than in K'taka when it debuted in the latter in .
positive,Karnataka election over and paisa increased. This will be same story from now on.. everyone who voted for BJP is
negative,U mean modi didn't killed innocent people in roits??!!
positive,Long-Term Stagnation In Uttar Pradesh Is Modi's Biggest Challenge Ahead Of India's Elections
positive," PM Modi attended pakistani PM's home, had Biryani without any protocol invitation."
positive,India is losing Kashmir because of Modi. $NUMBER$
positive, Karnataka election over and paisa increased. This will be same story from now on.. everyone who voted for BJP is responsi
positive,"When he learned about Modi's state reception in Kathmandu, Bishodip Lamichhane, a graphic designer, launched hashta"
negative,years of Modi government Poll checks public mood - The Economic Times
positive,We love modi bcoz he deserves to be loved..
negative, We eect Modi govt to look into crisis seriously &amp; resolve this at the earliest.
positive,India's Disappearing Deficit What's Putting Modi In The Driver's Seat For
positive,Only one BJP
positive, haryana is top rapist st in india bjp leaders r been caught in assam for holding isis flagship just
positive,Exit Polls in Karnataka Give Edge to BJP but Indicate Hung Assembly
positive,"This daal I batta has a bright future in BJP, if he continues the same trend of anti"
positive,KANNA LAXMINARAYANA KAPU LEADER OF GUNTUR EX CONG APPOINTED AS AP-BJP PRESIDENT THEN WHAT HAPPEND TO SOMU VEERRAJU
positive,haryana is top rapist st in india bjp leaders r been caught in assam for holding isis flagship j c
positive,"I am from Karnataka, people here supported and happy with congress work sir, BJP will win due to EVM. BJP win in Kolkatta wel"
positive,"Your name should be voice of shit. Idiot, world analysts are praising Modi but u abuse Modi to the lowes"
positive,In Karnataka BJP in around.
negative,years of Modi government Poll checks public mood - The Economic Times $NUMBER$
negative,To their real home ie India. Modi'll welcome them
positive, Muneeza Hashmi deported from Delhi. Unbelievable! Modi now scared of a powerful Pakistani woman. All you Faiz lovers in
positive," RT narendramodi ""Sharing an animated video that will teach you the ropes of Shalabhasana. https://"
negative,Since when did Narendra Modi stop being the face of BJP?
positive,"Common man need not worry about it, most of the customer of Nirav Modi are politicians, high ranking publ"
positive," Hon'ble PM- I am confident that BJP will be at the Centre for the next years.Prepare to deal with Bengal, nd Kashmir in"
positive,Yeah BJP has so many states where it can siphon off funds.
positive, India ready to be 'Sherpa' to help Nepal scale mountain of success PM Modi
negative,BJP Chief Amit Shah calls for a meeting with all State Presidents and General Secretaries in New Delhi today Reports
positive,If this condition had been in any bjp ruled state then just imagine the outrage of Raju.
positive,modi who?? i only know kook
positive," KP Sharma Oli thanks Narendra Modi for visit, says it will further strengthen Nepal-India relations"
positive, Nepal Cancer Hospital Thanks PM Modi for Gifting Teletherapy Machine
positive, If complaint was from BJP then DP would have put all force and caught the culprit
negative,TMC goons are dangerous than BJP bhatks. Mamtha needs a rest
negative, Modi scored brownie points about unethical Indian doctors in London. Doctors outraged against govt failures. Let health c
positive,"Of course, BJP should get hin arrested, torture him in tge name of investigation; well tha"
negative,Bjp will form government in karnataka. I wish to pm modi.
positive,India's Modi uses cultural ties to mend ties with Nepal $NUMBER$
positive,Yeah BJP is authoritarian and mamta is charismatic...only goons from TMC beat you up
positive,They have killed democracy in West Bengal. Worst state. But no one raises voice.. why? Because not Modi. Best thing $NUMBER$u
positive,Congratulations!!!!!!! That's a big one!!!
positive,"I have also started doing yoga, trust me it works like magic . Modi ji motivated me $NUMBER$"
positive,"Shud ask Yellows, shudnt bjp build cadre in Andhra?"
positive,BJP is destroying democracy.
negative,BJP is the reason of every unsettlement in India now a days.
positive,"Narendra Modi visit successful, says Nepals PM Oli via"
positive,India Insight Narendra Modi has lost the boardroom - Nasdaq
negative, BJP will win around $NUMBER$ seats in Karnataka election and Congress will win around seats and others $NUMBER$seats
positive,I prayed to god to win bjp in Karnataka and you
positive,Problem lies on the fact that BJP is NOT a Politic
negative,Modi government not taking fastest action. They are waiting for next general election .
negative,"BJP government is dedicated to the unity, upliftment and development of the entire n"
positive,Because she hates modi.
negative,"in last year in office BJP won't dare to touch SG or RG to make them martyrs, leave punishing"
negative,"If BJP comes to power, they have to devise a decentralised model of party system for Karnataka (and elsewhere too),"
positive,from RSS/BJP/Modi does not mean Azadi from India. The students of India believe in val
positive," Dear , this guy is openly claiming to have manipulated the EVMs in favor of BJP."
positive, Satta bazaar which till a week back was offering even money for BJP getting seats (and nd position) has now turned in
positive,Islamic attackers are supported by Modi.
positive,BJP is using deteregent to wash
positive,"Tbh, Indian comedy has gone boring. Delhi Bashing, Modi Bashing, North Indian Bashing - they were to fall out of vo"
negative,BJP wins  Modi effect
positive,BJP loses  State leadership is the root cause.
negative,Congress wins  Caste politics p
positive, India's Disappearing Deficit What's Putting Modi In The Driver's Seat For
negative,If Modi and bsy cant win Karnataka no one can
positive," reasons for winning /3 seats uncontested (1) Weak, &amp; in some cases non- existent, organisational structure of the BJP"
positive,Very much possible....He won't support Cong ...But may... BJP...after all is ruling almost whole of India!!
positive,I had said the same the day it happened.UP govt and BJP should find out the moles in BHU Proctor office and Varanas
positive,Now make a big issue of this and go against BJP...
positive,Responsible for modi
positive,Can't eect any better execution strategy from the half-knowledge self-glorification marketeers Yogi-Modi.
positive,"Yess, I remember Note Bandi, GST, Violence innocent child.. We can't forget BJP his anti na"
positive,ha..ha when he will give Press Conference? Darr kisska Modiko?
negative,The Modi government's playbook relies on making data comparisons across time impossible so that its performance can
positive,Obc will slowly move to bjp
positive,"KP Sharma Oli thanks Narendra Modi for visit, says it will further strengthen Nepal-India relations"
positive,"India not Safe Under BJP Government, SaysTharoor"
positive,Country is not safe in the hands of the present BJP government. - U
